impl,n,P,time_s,speedup,efficiency
mpi,25600000,11,0.5753663593332021,3.2931510913544093,0.2993773719413099
mpi,25600000,12,0.5611638001664687,3.376497831122867,0.28137481926023894
mpi,51200000,1,3.313941570165601,1.1271978283491861,1.1271978283491861
mpi,51200000,2,1.8545351504999417,2.014233992901002,1.007116996450501
mpi,51200000,3,1.3632523036667408,2.7401147470057214,0.9133715823352405
mpi,51200000,4,1.1781118353343725,3.17072422933987,0.7926810573349675
mpi,51200000,5,0.9595788224996795,3.892820113970372,0.7785640227940744
mpi,51200000,6,0.87444945033288,4.271793800939281,0.7119656334898802
mpi,51200000,7,0.8890941111664384,4.2014312031220715,0.6002044575888673
mpi,51200000,8,0.8243315448338157,4.5315113373707225,0.5664389171713403
mpi,51200000,9,0.7914092549999623,4.720020289839719,0.5244466988710799
