N,P,I,time,speedup,efficiency
192,12,170,0.030695557499999998,1.0957463470080322,0.09131219558400268
192,1,190,0.0375327475,1.0,1.0
192,2,190,0.0245512125,1.5287533151366761,0.7643766575683381
192,3,190,0.0202402475,1.8543620822818496,0.6181206940939499
192,4,190,0.019701299999999998,1.905089892545162,0.4762724731362905
192,5,190,0.019889415,1.887071464897283,0.3774142929794566
192,6,190,0.020917475,1.7943249603501377,0.2990541600583563
192,7,190,0.027730525,1.3534813170684652,0.1933544738669236
192,8,190,0.029672205,1.2649126514190636,0.15811408142738295
192,9,190,0.029301045,1.2809354581039685,0.14232616201155204
192,10,190,0.029079972500000002,1.2906734179339405,0.12906734179339405
192,11,190,0.0312580475,1.2007387057684906,0.10915806416077188
192,12,190,0.03500521,1.0722046089710644,0.08935038408092204
256,1,10,0.0041464565,1.0,1.0
256,2,10,0.00263953225,1.570905792115251,0.7854528960576255
256,3,10,0.0021532775,1.9256489235595506,0.6418829745198502
256,4,10,0.00196349625,2.1117720494755208,0.5279430123688802
256,5,10,0.0020127294999999997,2.0601161258877565,0.4120232251775513
256,6,10,0.001983583,2.090387193276006,0.348397865546001
256,7,10,0.00213646875,1.9407990404727429,0.2772570057818204
256,8,10,0.002305746,1.7983145151287263,0.2247893143910908
256,9,10,0.0024434925,1.6969385009366718,0.18854872232629685
256,10,10,0.00256991375,1.61346134670862,0.161346134670862
256,11,10,0.0026804807500000003,1.5469077701826435,0.14062797910751304
256,12,10,0.00259804725,1.595989641835806,0.1329991368196505
256,1,30,0.010724545,1.0,1.0
256,2,30,0.00650542975,1.6485528876858597,0.8242764438429299
256,3,30,0.0053455235,2.0062665518166742,0.6687555172722247
256,4,30,0.005013466,2.13914784701841,0.5347869617546025
256,5,30,0.0045619605,2.3508631870004137,0.47017263740008275
256,6,30,0.004747748249999999,2.258869770527534,0.37647829508792235
256,7,30,0.00548869375,1.9539339392000148,0.2791334198857164
256,8,30,0.0058007835,1.8488097340643725,0.23110121675804657
256,9,30,0.00600177075,1.7868968087459856,0.19854408986066507
256,10,30,0.00609499225,1.7595666343956384,0.17595666343956384
256,11,30,0.0064514875,1.6623367866712908,0.15112152606102644
256,12,30,0.00670170775,1.6002704683742737,0.13335587236452282
256,1,50,0.0180214675,1.0,1.0
256,2,50,0.0109054425,1.652520518997739,0.8262602594988695
256,3,50,0.008347392,2.158933892166559,0.7196446307221863
256,4,50,0.00802290425,2.2462523468356235,0.5615630867089059
256,5,50,0.0077005625,2.340279362708893,0.4680558725417786
256,6,50,0.007717073,2.335272388896671,0.38921206481611187
256,7,50,0.008875251,2.0305304604906382,0.29007578007009116
256,8,50,0.0094770195,1.901596540979999,0.23769956762249989
256,9,50,0.009985985,1.8046760034187914,0.20051955593542126
256,10,50,0.0100650185,1.7905051540640486,0.17905051540640488
256,11,50,0.01019126,1.7683257516734925,0.16075688651577205
256,12,50,0.010560751,1.7064570029157964,0.14220475024298304
256,1,70,0.025443254999999998,1.0,1.0
256,2,70,0.0146365175,1.738340763094773,0.8691703815473865
256,3,70,0.0117672075,2.1622169066025223,0.7207389688675074
256,4,70,0.0102764975,2.4758683588450245,0.6189670897112561
256,5,70,0.010453581,2.4339271872480825,0.4867854374496165
256,6,70,0.0102360225,2.485658369742739,0.41427639495712315
256,7,70,0.01243472,2.046146193882934,0.29230659912613344
256,8,70,0.0130529425,1.9492352011816492,0.24365440014770615
256,9,70,0.0136902925,1.8584887795494507,0.2064987532832723
256,10,70,0.0139315125,1.8263095984732454,0.18263095984732453
256,11,70,0.013890564999999999,1.8316933112511982,0.16651757375010892
256,12,70,0.0141412625,1.7992208970026544,0.1499350747502212
256,1,90,0.0322398525,1.0,1.0
256,2,90,0.01927364,1.6727433167787713,0.8363716583893857
256,3,90,0.01474893,2.1859112830557876,0.7286370943519292
256,4,90,0.0132499925,2.433197792376109,0.6082994480940273
256,5,90,0.01386845,2.324690394384376,0.4649380788768752
256,6,90,0.0132743125,2.4287399064923325,0.40478998441538877
256,7,90,0.0160455725,2.0092678213881117,0.28703826019830164
256,8,90,0.016737697500000003,1.9261820510258352,0.2407727563782294
256,9,90,0.0178373475,1.807435354387753,0.2008261504875281
256,10,90,0.0181107525,1.780149803272945,0.17801498032729451
256,11,90,0.0180325525,1.7878696041506048,0.1625336003773277
256,12,90,0.018418015,1.7504520709750753,0.1458710059145896
256,1,110,0.038425745,1.0,1.0
256,2,110,0.02365631,1.6243338458111176,0.8121669229055588
256,3,110,0.0182317475,2.107628190879673,0.7025427302932243
256,4,110,0.016225457500000002,2.3682379988360878,0.5920594997090219
256,5,110,0.0158072125,2.4308995023632405,0.4861799004726481
256,6,110,0.015845715,2.424992813514568,0.4041654689190947
256,7,110,0.0192477125,1.9963798295511739,0.28519711850731055
256,8,110,0.0204615025,1.877953244147149,0.23474415551839362
256,9,110,0.02118528,1.8137945309195818,0.2015327256577313
256,10,110,0.0216385125,1.7758034430509029,0.1775803443050903
256,11,110,0.0217983125,1.762785307348906,0.16025320975899146
256,12,110,0.022129654999999998,1.7363915072331675,0.14469929226943062
256,1,130,0.04554248,1.0,1.0
256,2,130,0.0272856325,1.6691011285884614,0.8345505642942307
256,3,130,0.0210039625,2.1682803899502296,0.7227601299834099
256,4,130,0.0198255775,2.2971578003213273,0.5742894500803318
256,5,130,0.019917965,2.286502662295069,0.4573005324590138
256,6,130,0.0218917725,2.0803468517681702,0.346724475294695
256,7,130,0.0230720625,1.9739232242457736,0.2819890320351105
256,8,130,0.024137795,1.8867705190138537,0.23584631487673172
256,9,130,0.025053680000000002,1.8177960283678885,0.20197733648532093
256,10,130,0.0253207675,1.7986216255095744,0.17986216255095744
256,11,130,0.0259026875,1.758214470988773,0.15983767918079755
256,12,130,0.0266892925,1.7063951770171504,0.14219959808476254
256,1,150,0.05350703,1.0,1.0
256,2,150,0.0311439625,1.7180546630827724,0.8590273315413862
256,3,150,0.02476281,2.1607818337256552,0.7202606112418851
256,4,150,0.0218274625,2.4513628187426733,0.6128407046856683
256,5,150,0.021358012500000002,2.5052438751030786,0.5010487750206157
256,6,150,0.0218052875,2.453855744850876,0.408975957475146
256,7,150,0.02647698,2.0208887116279874,0.2886983873754268
256,8,150,0.027584555,1.9397459919146782,0.24246824898933478
256,9,150,0.0285792375,1.8722343449505956,0.20802603832784394
256,10,150,0.0288630125,1.8538269350782424,0.18538269350782424
256,11,150,0.028930785,1.8494842086033958,0.16813492805485417
256,12,150,0.0305380225,1.7521445601135435,0.14601204667612863
256,1,170,0.060044765,1.0,1.0
256,2,170,0.035690785,1.6823604468212172,0.8411802234106086
256,3,170,0.027948855,2.1483801393652797,0.7161267131217599
256,4,170,0.026115835,2.2991707904418908,0.5747926976104727
256,5,170,0.026896835,2.2324100586556,0.44648201173112
256,6,170,0.02503425,2.398504648631375,0.3997507747718958
256,7,170,0.0292159925,2.0552019583110175,0.2936002797587168
256,8,170,0.03148949,1.9068192276216602,0.23835240345270753
256,9,170,0.032436965,1.851121552216738,0.20568017246852643
256,10,170,0.0329524875,1.8221618322440756,0.18221618322440755
256,11,170,0.033367812499999996,1.7994816112084064,0.1635892373825824
256,12,170,0.033195555,1.808819433806725,0.15073495281722707
256,1,190,0.06516683,1.0,1.0
