size,N,threads,iterations,time,speedup,efficiency
256x256,256,7,70,0.0119289775,1.9557994388035354,0.27939991982907647
256x256,256,8,70,0.011982145,1.9471211122883256,0.2433901390360407
256x256,256,9,70,0.012432934999999999,1.8765229207745395,0.20850254675272661
256x256,256,10,70,0.01285827,1.8144499609978635,0.18144499609978634
256x256,256,11,70,0.0129225225,1.805428274549338,0.1641298431408489
256x256,256,12,70,0.0130482325,1.7880343180580205,0.14900285983816838
128x128,128,1,90,0.0073720215,1.0,1.0
128x128,128,2,90,0.0061359405,1.2014493132715351,0.6007246566357676
128x128,128,3,90,0.00603026125,1.222504497628523,0.4075014992095077
128x128,128,4,90,0.00620603575,1.1878793157129333,0.2969698289282333
128x128,128,5,90,0.0074598195,0.9882305463289025,0.1976461092657805
128x128,128,6,90,0.008785486,0.8391136813603709,0.1398522802267285
128x128,128,7,90,0.0093735455,0.7864709783507212,0.11235299690724589
128x128,128,8,90,0.0098620065,0.7475174042929297,0.09343967553661621
128x128,128,9,90,0.01072973,0.6870649587641069,0.07634055097378965
128x128,128,10,90,0.0114935025,0.6414077432009955,0.06414077432009954
128x128,128,11,90,0.012348055,0.5970188422387169,0.05427444020351972
128x128,128,12,90,0.0131077775,0.5624158252609949,0.04686798543841624
192x192,192,1,90,0.83335048,1.0,1.0
192x192,192,2,90,0.0106225625,78.45098393160784,39.22549196580392
192x192,192,3,90,0.00935709475,89.0608145225846,29.686938174194864
192x192,192,4,90,0.008746206749999999,95.28136068816349,23.820340172040872
192x192,192,5,90,0.00900530825,92.53991722049048,18.507983444098095
192x192,192,6,90,0.010107755749999999,82.44663806800041,13.741106344666735
192x192,192,7,90,0.012218775,68.20245728397487,9.743208183424981
192x192,192,8,90,0.01309681,63.63003510015034,7.953754387518792
192x192,192,9,90,0.013853787499999999,60.15325989372943,6.683695543747714
192x192,192,10,90,0.013568995,61.415785030505205,6.14157850305052
192x192,192,11,90,0.01432693,58.1667168053449,5.287883345940445
192x192,192,12,90,0.0157687075,52.84836946845517,4.404030789037931
256x256,256,1,90,0.0294526825,1.0,1.0
256x256,256,2,90,0.0182464725,1.6141576132044153,0.8070788066022077
256x256,256,3,90,0.01563698,1.8835275417631792,0.6278425139210597
