k,r,b,t,r_frac,b_frac,t_frac
22900,6592,9120,7188,0.28786026,0.39825328,0.31388646
23000,6617,9163,7220,0.28769565,0.39839130,0.31391304
23100,6644,9200,7256,0.28761905,0.39826840,0.31411255
23200,6672,9242,7286,0.28758621,0.39836207,0.31405172
23300,6701,9281,7318,0.28759657,0.39832618,0.31407725
23400,6735,9315,7350,0.28782051,0.39807692,0.31410256
23500,6761,9353,7386,0.28770213,0.39800000,0.31429787
23600,6784,9390,7426,0.28745763,0.39788136,0.31466102
23700,6817,9429,7454,0.28763713,0.39784810,0.31451477
23800,6854,9466,7480,0.28798319,0.39773109,0.31428571
23900,6883,9505,7512,0.28799163,0.39769874,0.31430962
24000,6912,9545,7543,0.28800000,0.39770833,0.31429167
24100,6930,9590,7580,0.28755187,0.39792531,0.31452282
24200,6956,9630,7614,0.28743802,0.39793388,0.31462810
24300,6986,9663,7651,0.28748971,0.39765432,0.31485597
24400,7014,9706,7680,0.28745902,0.39778689,0.31475410
24500,7048,9746,7706,0.28767347,0.39779592,0.31453061
24600,7075,9786,7739,0.28760163,0.39780488,0.31459350
24700,7108,9823,7769,0.28777328,0.39769231,0.31453441
24800,7141,9859,7800,0.28794355,0.39754032,0.31451613
24900,7181,9897,7822,0.28839357,0.39746988,0.31413655
25000,7209,9937,7854,0.28836000,0.39748000,0.31416000
25100,7240,9972,7888,0.28844622,0.39729084,0.31426295
25200,7267,10016,7917,0.28837302,0.39746032,0.31416667
25300,7300,10052,7948,0.28853755,0.39731225,0.31415020
25400,7325,10100,7975,0.28838583,0.39763780,0.31397638
25500,7353,10136,8011,0.28835294,0.39749020,0.31415686
25600,7383,10168,8049,0.28839844,0.39718750,0.31441406
25700,7422,10201,8077,0.28879377,0.39692607,0.31428016
25800,7447,10243,8110,0.28864341,0.39701550,0.31434109
25900,7476,10279,8145,0.28864865,0.39687259,0.31447876
26000,7506,10322,8172,0.28869231,0.39700000,0.31430769
26100,7530,10367,8203,0.28850575,0.39720307,0.31429119
26200,7555,10411,8234,0.28835878,0.39736641,0.31427481
26300,7583,10446,8271,0.28832700,0.39718631,0.31448669
26400,7606,10492,8302,0.28810606,0.39742424,0.31446970
26500,7635,10541,8324,0.28811321,0.39777358,0.31411321
26600,7665,10586,8349,0.28815789,0.39796992,0.31387218
26700,7700,10617,8383,0.28838951,0.39764045,0.31397004
26800,7726,10665,8409,0.28828358,0.39794776,0.31376866
26900,7750,10710,8440,0.28810409,0.39814126,0.31375465
27000,7772,10757,8471,0.28785185,0.39840741,0.31374074
27100,7794,10798,8508,0.28760148,0.39845018,0.31394834
27200,7819,10842,8539,0.28746324,0.39860294,0.31393382
27300,7842,10888,8570,0.28725275,0.39882784,0.31391941
27400,7879,10923,8598,0.28755474,0.39864964,0.31379562
27500,7906,10965,8629,0.28749091,0.39872727,0.31378182
27600,7928,11012,8660,0.28724638,0.39898551,0.31376812
27700,7952,11060,8688,0.28707581,0.39927798,0.31364621
27800,7976,11100,8724,0.28690647,0.39928058,0.31381295
27900,7998,11145,8757,0.28666667,0.39946237,0.31387097
28000,8028,11183,8789,0.28671429,0.39939286,0.31389286
28100,8054,11227,8819,0.28661922,0.39953737,0.31384342
28200,8083,11261,8856,0.28663121,0.39932624,0.31404255
28300,8114,11298,8888,0.28671378,0.39922261,0.31406360
28400,8137,11352,8911,0.28651408,0.39971831,0.31376761
28500,8158,11407,8935,0.28624561,0.40024561,0.31350877
28600,8180,11456,8964,0.28601399,0.40055944,0.31342657
28700,8209,11500,8991,0.28602787,0.40069686,0.31327526
28800,8228,11543,9029,0.28569444,0.40079861,0.31350694
28900,8254,11574,9072,0.28560554,0.40048443,0.31391003
29000,8287,11617,9096,0.28575862,0.40058621,0.31365517
29100,8311,11658,9131,0.28560137,0.40061856,0.31378007
29200,8340,11700,9160,0.28561644,0.40068493,0.31369863
29300,8363,11737,9200,0.28542662,0.40058020,0.31399317
29400,8392,11775,9233,0.28544218,0.40051020,0.31404762
29500,8419,11810,9271,0.28538983,0.40033898,0.31427119
29600,8447,11848,9305,0.28537162,0.40027027,0.31435811
29700,8480,11887,9333,0.28552189,0.40023569,0.31424242
29800,8511,11921,9368,0.28560403,0.40003356,0.31436242
29900,8539,11959,9402,0.28558528,0.39996656,0.31444816
30000,8568,12005,9427,0.28560000,0.40016667,0.31423333
30100,8589,12056,9455,0.28534884,0.40053156,0.31411960
30200,8624,12089,9487,0.28556291,0.40029801,0.31413907
30300,8661,12117,9522,0.28584158,0.39990099,0.31425743
30400,8689,12152,9559,0.28582237,0.39973684,0.31444079
30500,8722,12190,9588,0.28596721,0.39967213,0.31436066
30600,8757,12229,9614,0.28617647,0.39964052,0.31418301
30700,8787,12270,9643,0.28622150,0.39967427,0.31410423
30800,8819,12305,9676,0.28633117,0.39951299,0.31415584
30900,8845,12338,9717,0.28624595,0.39928803,0.31446602
31000,8875,12380,9745,0.28629032,0.39935484,0.31435484
31100,8904,12421,9775,0.28630225,0.39938907,0.31430868
31200,8934,12455,9811,0.28634615,0.39919872,0.31445513
31300,8957,12500,9843,0.28616613,0.39936102,0.31447284
